game,bankroll
0,9980
1,9900
2,9870
3,9850
4,9830
5,9800
6,9700
7,9580
8,9560
9,9510
10,9480
11,9420
12,9330
13,9200
14,9140
15,9080
16,9070
17,9060
18,9030
19,8990
20,8900
21,8850
22,8770
23,8740
24,8610
25,8540
26,8480
27,8460
28,8430
29,8390
30,8410
31,8370
32,8350
33,8310
34,8140
35,8110
36,8050
37,8030
38,8020
39,7900
40,7900
41,7880
42,7870
43,7800
44,7770
45,7650
46,7650
47,7590
48,7460
49,7450
50,7400
51,7400
52,7380
53,7370
54,7340
55,7270
56,7140
57,7120
58,7110
59,7080
60,7010
61,6980
62,6900
63,6770
64,6780
65,6720
66,6690
67,6680
68,6670
69,6660
70,6510
71,6370
72,6350
73,6280
74,6240
75,6200
76,6170
77,6150
78,6090
79,6050
80,6000
81,5980
82,5960
83,5930
84,5840
85,5820
86,5800
87,5730
88,5710
89,5640
90,5550
91,5490
92,5460
93,5250
94,5220
95,5200
96,5050
97,4910
98,4900
99,4870
100,4860
101,4850
102,4730
103,4680
104,4600
105,4530
106,4140
107,4120
108,4090
109,4070
110,3950
111,3940
112,3770
113,3690
114,3680
115,3540
116,3460
117,3440
118,3380
119,3330
120,3320
121,3290
122,3260
123,3250
124,3250
125,3240
126,3170
127,3130
128,3110
129,3090
130,3070
131,3040
132,3030
133,3020
134,2970
135,2810
136,2790
137,2740
138,2730
139,2700
140,2680
141,2680
142,2630
143,2590
144,2560
145,2530
146,2500
147,2400
148,2360
149,2350
150,2230
151,2200
152,2160
153,2130
154,2110
155,2050
156,2020
157,2000
158,1990
159,1900
160,1840
161,1820
162,1780
163,1740
164,1670
165,1590
166,1420
167,1370
168,1340
169,1340
170,1300
171,1290
172,1250
173,1210
174,1180
175,1120
176,1100
177,1030
178,1010
179,980
180,900
181,890
182,830
183,810
184,800
185,770
186,670
187,650
188,620
189,550
190,500
191,450
192,440
193,360
194,320
195,270
196,200
197,140
198,50
199,30
200,0
