game,bankroll
0,9970
1,9880
2,9840
3,9810
4,9780
5,9740
6,9640
7,9530
8,9500
9,9440
10,9380
11,9310
12,9220
13,9080
14,9010
15,8950
16,8930
17,8920
18,8880
19,8840
20,8780
21,8720
22,8640
23,8610
24,8480
25,8430
26,8350
27,8320
28,8280
29,8220
30,8240
31,8190
32,8160
33,8100
34,7920
35,7880
36,7810
37,7780
38,7760
39,7630
40,7620
41,7590
42,7580
43,7500
44,7460
45,7340
46,7340
47,7270
48,7140
49,7120
50,7060
51,7060
52,7030
53,7020
54,6980
55,6910
56,6760
57,6730
58,6710
59,6670
60,6590
61,6560
62,6480
63,6370
64,6380
65,6330
66,6290
67,6270
68,6260
69,6250
70,6110
71,5970
72,5940
73,5870
74,5820
75,5770
76,5720
77,5690
78,5620
79,5570
80,5520
81,5490
82,5470
83,5430
84,5330
85,5300
86,5270
87,5220
88,5190
89,5110
90,5010
91,4930
92,4890
93,4680
94,4640
95,4610
96,4500
97,4410
98,4400
99,4360
100,4350
101,4340
102,4230
103,4170
104,4100
105,4020
106,3670
107,3640
108,3590
109,3560
110,3450
111,3440
112,3300
113,3210
114,3200
115,3060
116,2970
117,2940
118,2870
119,2800
120,2790
121,2750
122,2710
123,2700
124,2700
125,2690
126,2600
127,2560
128,2530
129,2500
130,2470
131,2440
132,2430
133,2420
134,2360
135,2210
136,2180
137,2120
138,2110
139,2080
140,2050
141,2050
142,1990
143,1940
144,1900
145,1850
146,1810
147,1710
148,1650
149,1630
150,1500
151,1460
152,1420
153,1370
154,1340
155,1290
156,1240
157,1210
158,1200
159,1100
160,1030
161,1000
162,950
163,910
164,850
165,760
166,580
167,520
168,470
169,470
170,420
171,410
172,360
173,300
174,260
175,190
176,160
177,70
178,40
179,0
