game,bankroll
0,9970
1,9810
2,9750
3,9710
4,9660
5,9610
6,9430
7,9210
8,9180
9,9090
10,9020
11,8910
12,8740
13,8490
14,8380
15,8270
16,8250
17,8240
18,8190
19,8110
20,7950
21,7850
22,7710
23,7640
24,7390
25,7240
26,7120
27,7090
28,7040
29,6970
30,6990
31,6930
32,6900
33,6830
34,6470
35,6420
36,6310
37,6280
38,6260
39,6020
40,6010
41,5980
42,5970
43,5830
44,5780
45,5570
46,5570
47,5460
48,5180
49,5160
50,5090
51,5090
52,5040
53,5030
54,4980
55,4850
56,4600
57,4570
58,4540
59,4500
60,4370
61,4300
62,4150
63,3930
64,3940
65,3850
66,3790
67,3770
68,3760
69,3750
70,3470
71,3200
72,3170
73,3050
74,2970
75,2900
76,2850
77,2820
78,2710
79,2630
80,2550
81,2510
82,2470
83,2420
84,2250
85,2220
86,2190
87,2100
88,2070
89,1930
90,1750
91,1650
92,1600
93,1200
94,1150
95,1120
96,870
97,640
98,630
99,590
100,580
101,570
102,330
103,250
104,110
105,0
